1,1896,Summer,Athina
2,1900,Summer,Paris
3,1904,Summer,St. Louis
4,1906,Summer,Athina
5,1908,Summer,London
6,1912,Summer,Stockholm
7,1920,Summer,Antwerpen
8,1924,Summer,Paris
9,1924,Winter,Chamonix
10,1928,Summer,Amsterdam
11,1928,Winter,Sankt Moritz
12,1932,Summer,Los Angeles
13,1932,Winter,Lake Placid
14,1936,Summer,Berlin
15,1936,Winter,Garmisch-Partenkirchen
16,1948,Summer,London
17,1948,Winter,Sankt Moritz
18,1952,Summer,Helsinki
19,1952,Winter,Oslo
20,1956,Summer,Melbourne
21,1956,Winter,Cortina d'Ampezzo
22,1960,Summer,Roma
23,1960,Winter,Squaw Valley
24,1964,Summer,Tokyo
25,1964,Winter,Innsbruck
26,1968,Summer,Mexico City
27,1968,Winter,Grenoble
28,1972,Summer,Munich
29,1972,Winter,Sapporo
30,1976,Summer,Montreal
31,1976,Winter,Innsbruck
32,1980,Summer,Moskva
33,1980,Winter,Lake Placid
34,1984,Summer,Los Angeles
35,1984,Winter,Sarajevo
36,1988,Summer,Seoul
37,1988,Winter,Calgary
38,1992,Summer,Barcelona
39,1992,Winter,Albertville
40,1994,Winter,Lillehammer
41,1996,Summer,Atlanta
42,1998,Winter,Nagano
43,2000,Summer,Sydney
44,2002,Winter,Salt Lake City
45,2004,Summer,Athina
46,2006,Winter,Torino
47,2008,Summer,Beijing
48,2010,Winter,Vancouver
49,2012,Summer,London
50,2014,Winter,Sochi
51,2016,Summer,Rio de Janeiro
